longitude,latitude,housing_age,homeowner_income,house_price
-122.21,37.83,34,6.8976,333300
-122.19,37.83,28,8.2049,335200
-122.2,37.83,26,8.401,351200
-122.19,37.83,29,6.8538,368900
-122.19,37.82,32,8.317,365900
-122.2,37.82,37,7.0175,366700
-122.2,37.82,39,6.3302,362800
-122.18,37.81,30,6.3624,483300
-122.21,37.82,52,7.0549,331400
-122.2,37.81,45,6.7851,323500
-122.21,37.8,50,2.8929,216700
-122.21,37.8,38,3.0812,233100
-122.21,37.81,52,5.2402,296400
-122.22,37.81,52,6.5217,273700
-122.22,37.8,52,3.2632,227700
-122.22,37.8,52,3.0298,199600
-122.22,37.8,52,4.5428,239800
-122.22,37.81,52,4.072,270100
-122.22,37.81,52,5.3509,302100
-122.23,37.8,52,3.1603,269500
-122.23,37.81,52,4.7708,314700
-122.22,37.81,52,8.1564,390100
-122.23,37.81,52,8.8793,410300
-122.24,37.81,52,6.8591,352400
-122.24,37.81,52,6.0302,287300
-122.23,37.81,52,7.508,348700
-122.24,37.81,52,2.7477,243800
-122.24,37.8,52,2.1944,211500
-122.25,37.8,52,3.0149,218400
-122.24,37.81,52,3.675,269900
-122.25,37.81,46,3.225,218800
-122.25,37.8,42,2.9345,225000
-122.25,37.8,43,2.1429,250000
-122.25,37.8,41,1.6121,171400
-122.25,37.8,29,1.3929,193800
-122.24,37.79,27,2.3173,125000
-122.25,37.79,45,1.7772,97500
-122.25,37.79,50,2.6458,125000
-122.25,37.79,52,2.181,138800
-122.25,37.8,36,2.2303,116700
-122.25,37.8,43,1.6504,151800
-122.24,37.8,52,2.2697,127000
-122.24,37.8,52,2.1563,128600
-122.24,37.8,52,2.1348,140600
-122.24,37.8,47,2.6292,182700
-122.23,37.8,52,2.3833,146900
-122.24,37.8,52,2.957,122800
-122.24,37.8,49,2.5238,169300
-122.23,37.8,52,1.9375,126600
-122.23,37.8,51,1.9028,127900
-122.23,37.8,50,2.25,123500
-122.23,37.8,52,2.3929,111900
-122.23,37.79,43,2.1917,112800
-122.23,37.79,52,2.9357,107900
-122.23,37.79,30,1.8854,137500
-122.24,37.79,39,2.1638,105500
-122.24,37.79,47,2.125,95500
-122.24,37.79,52,3.375,116100
-122.24,37.79,43,2.2542,112200
-122.25,37.79,51,2.1,75000
-122.25,37.79,39,1.6,112500
-122.25,37.79,52,3.625,125000
-122.26,37.8,20,1.6929,115000
-122.22,37.77,52,1.6471,95000
-122.22,37.77,52,2.59,96400
-122.23,37.77,52,2.57,72000
-122.23,37.78,52,2.6429,71300
-122.23,37.78,52,3.0257,80800
-122.22,37.78,50,1.4886,128800
-122.23,37.78,43,1.9338,112500
-122.23,37.78,52,1.4844,119400
-122.23,37.78,44,1.6009,118100
-122.23,37.79,48,2.0375,122500
-122.23,37.79,49,2.293,106300
-122.22,37.79,37,2.1494,132500
-122.23,37.79,30,1.6198,122700
-122.23,37.79,40,1.3281,113300
-122.22,37.79,44,3.5156,109500
-122.22,37.79,52,3.9048,164700
-122.21,37.79,52,3.0893,125000
-122.22,37.79,46,2.6042,124700
-122.22,37.79,49,2.5,136700
-122.22,37.79,38,2.7969,141700
-122.2,37.79,29,2.8321,150000
-122.21,37.79,47,2.9583,138800
-122.21,37.79,34,2.8365,139200
-122.21,37.79,35,2.875,143800
-122.21,37.8,39,3.0682,156500
-122.21,37.8,39,3.0757,151000
-122.2,37.8,43,4.9559,273000
-122.2,37.8,52,4.7721,217100
-122.21,37.8,52,3.4861,187100
-122.2,37.8,41,5.1184,239600
-122.21,37.8,48,4.0977,229700
-122.19,37.8,48,4.744,257300
-122.19,37.8,46,4.2727,246900
-122.19,37.79,50,2.9844,179900
-122.2,37.79,40,4.1739,169600
-122.2,37.8,46,3.8487,203300
-122.19,37.8,52,4.0114,263400
-122.19,37.79,45,4.6563,231800
-122.19,37.79,28,2.9297,140500
-122.2,37.79,35,2.3036,126000
-122.2,37.79,49,2.6667,122000
-122.2,37.79,44,2.619,134700
-122.21,37.79,45,2.4167,139400
-122.2,37.79,45,2.7788,115400
-122.21,37.78,46,2.7352,137300
-122.21,37.78,52,1.8472,137000
-122.21,37.78,52,2.6583,142600
-122.21,37.78,49,3.0536,137500
-122.22,37.78,44,2.3906,111700
-122.21,37.78,43,1.7188,126800
-122.21,37.78,47,2.625,111300
-122.22,37.77,40,2.8015,114800
-122.22,37.78,50,1.7276,102300
-122.22,37.78,44,2.0801,131900
-122.22,37.78,51,2.489,119100
-122.21,37.76,52,1.7546,80600
-122.21,37.77,52,4.0904,80600
-122.21,37.77,52,2.6765,88800
-122.2,37.77,49,2.4338,102400
-122.21,37.77,46,2.3309,98700
-122.21,37.77,43,2.2604,100000
-122.19,37.77,42,1.8039,92300
-122.2,37.77,39,2.2562,94800
-122.2,37.77,41,2.0562,102000
-122.2,37.78,52,3.5398,158400
-122.2,37.78,39,3.1167,121600
-122.2,37.78,50,2.5401,129100
-122.2,37.77,43,2.898,121400
-122.21,37.78,44,2.3125,102800
-122.19,37.78,52,2.875,160000
-122.19,37.77,52,3.3715,143900
-122.19,37.77,52,3.5114,151200
-122.19,37.78,52,4.3125,164400
-122.19,37.78,52,3.22,156500
-122.18,37.78,33,3.875,225000
-122.19,37.78,49,5.2328,174200
-122.19,37.78,52,3.7262,166900
-122.2,37.78,45,4.5893,163500
-122.18,37.79,39,5.2578,253000
-122.18,37.79,41,7.0875,240700
-122.18,37.79,46,3.9712,208100
-122.19,37.79,47,2.9514,198100
-122.19,37.79,50,2.6667,172800
-122.18,37.81,37,5.4446,336700
-122.18,37.8,34,6.2838,318200
-122.18,37.8,23,6.7527,285800
-122.13,37.77,24,7.0712,293000
-122.16,37.79,22,5.9849,371000
-122.17,37.78,42,3.6875,157300
-122.17,37.77,30,2.875,135300
-122.18,37.78,43,3.4205,136700
-122.18,37.78,50,3.2984,160700
-122.17,37.78,49,3.875,140600
-122.17,37.78,52,4.175,144000
-122.16,37.77,47,4.375,161900
-122.16,37.77,48,4.7708,156300
-122.16,37.77,45,3.5739,176000
-122.16,37.77,39,3.0958,145800
-122.17,37.77,39,3.3958,141900
-122.17,37.77,31,1.871,90700
-122.17,37.76,41,1.9356,90600
-122.17,37.76,47,2.1842,107900
-122.18,37.76,37,2.2917,107000
-122.17,37.76,38,2.4333,98200
-122.18,37.76,50,1.9479,89500
-122.18,37.76,52,3.9063,93800
-122.18,37.76,49,1.8407,96700
-122.18,37.77,27,2.0786,97500
-122.18,37.77,42,2.8125,97300
-122.18,37.76,43,1.8913,91200
-122.19,37.76,49,1.7056,91400
-122.18,37.77,52,2.2768,96200
-122.18,37.77,51,3.2552,120100
-122.18,37.77,52,2.0556,100000
-122.19,37.76,52,2.4659,94700
-122.2,37.76,47,1.75,85700
-122.19,37.77,41,2.0469,89300
-122.19,37.77,45,2.7159,101400
-122.19,37.76,41,1.2083,72500
-122.19,37.76,45,1.925,74100
-122.2,37.75,36,1.5809,70000
-122.2,37.76,37,1.4097,84600
-122.19,37.76,38,0.7683,81800
-122.19,37.75,19,1.3194,81400
-122.19,37.75,28,0.8012,81800
-122.19,37.76,26,1.9479,85800
-122.19,37.74,36,1.1765,87100
-122.18,37.74,42,2.3456,83500
-122.19,37.73,44,2.1538,79700
-122.19,37.74,43,2.5139,83400
-122.19,37.73,45,1.2625,84700
-122.18,37.73,42,2.9063,80000
-122.18,37.73,43,2.5192,76400
-122.18,37.73,44,2.1111,79700
-122.18,37.73,42,2.455,82400
-122.17,37.74,41,2.4028,97700
-122.17,37.74,47,2.15,97200
-122.17,37.74,43,2.4776,101600
-122.17,37.73,43,2.1587,86500
-122.18,37.74,35,1.8438,90500
-122.17,37.74,46,3.0298,107600
-122.17,37.74,46,2.25,84200
-122.18,37.74,46,2.2467,88900
-122.18,37.75,45,4.0469,80700
-122.18,37.75,46,1.325,87100
-122.17,37.75,38,1.6196,85100
-122.18,37.75,45,2.1731,82000
-122.19,37.75,36,1.9167,82800
-122.18,37.75,43,2.069,84600
-122.18,37.75,36,1.712,82100
-122.17,37.76,33,2.5625,89300
-122.17,37.75,43,1.9821,98300
-122.17,37.75,41,2.5043,92300
-122.17,37.75,44,2.3281,88800
-122.17,37.75,48,1.4375,90000
-122.16,37.76,45,2.5122,95500
-122.16,37.75,38,1.5625,91700
-122.17,37.75,47,3.1587,100400
-122.17,37.76,40,1.8426,94800
-122.16,37.76,46,4.6696,164300
-122.16,37.76,36,2.4598,155500
-122.15,37.76,39,6.0749,196900
-122.14,37.77,27,4.8304,279100
-122.14,37.76,34,5.5701,252800
-122.13,37.76,26,5.37,275400
-122.12,37.75,33,6.86,250000
-122.12,37.75,28,7.6923,329800
-122.14,37.75,36,4.0313,195500
-122.14,37.75,33,6.8323,255900
-122.13,37.75,30,4.975,311100
-122.13,37.75,36,5.3602,330000
-122.13,37.74,41,5,248900
-122.16,37.75,46,2.925,142900
-122.15,37.75,40,3.8913,126300
-122.15,37.75,44,3.225,135800
-122.15,37.74,41,3.1458,130600
-122.16,37.75,24,2.537,107900
-122.16,37.75,44,2.5568,111100
-122.15,37.74,43,3.5083,122000
-122.15,37.74,49,3.3125,118000
-122.16,37.75,40,1.8235,95200
-122.16,37.75,35,3.8047,94300
-122.17,37.74,34,2.2917,92500
-122.17,37.75,37,2.4962,91800
-122.16,37.74,43,4.0417,109400
-122.16,37.74,46,3.4844,129500
-122.16,37.74,52,4.1458,143400
-122.16,37.74,47,2.625,98200
-122.16,37.74,44,2.0227,103100
-122.29,37.9,49,3.3333,276800
-122.29,37.9,52,5.338,270900
-122.29,37.89,52,3.4732,246200
-122.3,37.9,38,3.5125,224200
-122.29,37.89,52,3.1375,229100
-122.3,37.89,46,2.8036,211600
-122.3,37.9,15,4.5824,256100
-122.3,37.89,36,3.0208,206300
-122.3,37.89,52,4.0875,221300
-122.33,37.89,42,4.5268,207400
-122.34,37.88,37,1.7375,350000
-122.29,37.89,52,3.1795,218200
-122.29,37.88,50,3.8672,216700
-122.29,37.89,52,5.1675,270600
-122.29,37.89,52,5.1696,261400
-122.28,37.88,52,4.2614,261300
-122.29,37.89,52,5.0551,232200
-122.27,37.9,42,5.6228,375400
-122.26,37.9,52,7.8864,357300
-122.27,37.9,52,7.9556,374400
-122.27,37.9,52,6.174,358800
-122.27,37.9,52,6.9414,417500
-122.27,37.89,52,8.8342,430500
-122.28,37.9,52,7.1754,362900
-122.28,37.9,52,10.0825,397000
-122.28,37.9,52,4.9083,346800
-122.28,37.89,52,5.7912,327100
-122.28,37.89,52,4.5893,290100
-122.28,37.89,52,5.4171,292000
-122.28,37.89,52,4.125,270900
-122.27,37.89,52,7.266,371100
-122.27,37.89,52,5.3989,335600
-122.26,37.9,37,7.8336,371300
-122.25,37.89,41,6.1593,344000
-122.26,37.89,52,6.381,342200
-122.26,37.89,52,6.6828,370900
-122.25,37.89,37,7.5385,350000
-122.25,37.89,42,6.7138,368600
-122.26,37.88,52,6.2425,391800
-122.26,37.88,52,5.7979,415300
-122.27,37.88,52,4.2813,284900
-122.27,37.88,52,3.5417,287500
-122.27,37.88,44,3.0132,272900
-122.28,37.88,52,4.1429,259600
-122.28,37.88,52,4.1912,254500
-122.28,37.88,52,3.9167,235600
-122.29,37.88,52,3.8897,218400
-122.29,37.88,48,3.1065,229200
-122.29,37.88,46,2.9926,192100
-122.29,37.88,52,3.556,179300
-122.3,37.88,45,1.475,187500
-122.3,37.88,52,1.6971,138800
-122.3,37.87,10,2.1705,150000
-122.3,37.86,50,2.75,140600
-122.29,37.85,52,2.5682,120000
-122.3,37.88,46,2.9,144800
-122.3,37.87,52,2.2208,144800
-122.28,37.88,52,3.2344,245500
-122.28,37.87,52,3.5156,200000
-122.28,37.87,49,1.9805,173700
-122.29,37.87,50,2.6684,185600
-122.29,37.87,52,3.875,182600
-122.28,37.88,52,3.006,227900
-122.28,37.87,46,2.543,220700
-122.28,37.87,46,2.8676,212000
-122.27,37.88,52,2.1907,271400
-122.27,37.87,30,1.7778,268800
-122.27,37.88,37,2.52,277800
-122.26,37.88,52,4.2788,332500
-122.26,37.88,52,2.944,338900
-122.26,37.88,52,1.725,287500
-122.25,37.87,41,5.2289,384600
-122.25,37.87,42,2.5562,371400
-122.25,37.87,52,0.949,350000
-122.25,37.87,52,1.1696,500001
-122.26,37.87,52,1.4012,175000
-122.26,37.87,52,1.1859,241700
-122.27,37.87,35,1.7464,216700
-122.27,37.87,49,2.8846,211300
-122.27,37.87,52,2.7372,210200
-122.28,37.86,52,3.8594,196400
-122.28,37.87,52,3.5625,191700
-122.28,37.87,52,2.2788,182300
-122.29,37.87,44,2.537,175000
-122.29,37.87,46,2.525,165900
-122.29,37.86,52,1.9946,156900
-122.28,37.86,52,2.8214,164300
-122.29,37.87,52,2.6165,150000
-122.29,37.86,50,1.9483,150500
-122.28,37.86,52,1.9327,169900
-122.28,37.86,49,1.9798,147400
-122.28,37.85,52,2.4167,152700
-122.27,37.86,49,2.5417,182700
-122.28,37.86,52,3.3906,179300
-122.28,37.86,52,2.5652,157700
-122.28,37.86,41,2.2845,153100
-122.27,37.86,52,2.6071,250000
-122.27,37.86,52,3.15,206300
-122.27,37.86,52,2.6914,218800
-122.27,37.86,52,1.8447,198200
-122.26,37.86,35,1.6307,253600
-122.26,37.86,52,2.9044,257400
-122.26,37.86,52,2.9405,289500
-122.26,37.86,52,3.3893,241700
-122.25,37.86,48,3.0417,489600
-122.25,37.86,52,7.0897,446200
-122.25,37.86,52,5.0463,456300
-122.25,37.86,52,1.7652,336800
-122.24,37.86,52,7.8521,500001
-122.24,37.85,52,9.3959,500001
-122.25,37.86,52,5.3794,376900
-122.26,37.85,52,3.2619,309600
-122.27,37.85,52,2.7054,182300
-122.27,37.85,47,2.2431,172700
-122.27,37.85,50,1.9028,150800
-122.27,37.85,52,1.5817,153600
-122.27,37.85,52,2.2841,106300
-122.27,37.85,47,1.3785,142300
-122.28,37.85,52,2.9018,119400
-122.28,37.85,44,1.73,147900
-122.28,37.85,48,2.2625,132900
-122.29,37.84,35,2.2106,132500
-122.28,37.83,52,2.6997,126900
-122.3,37.84,14,4.0018,143800
-122.23,37.83,52,7.8772,500001
-122.22,37.82,39,11.8603,500001
-122.22,37.82,42,13.499,500001
-122.23,37.82,52,12.2138,500001
-122.23,37.82,52,8.1872,466100
-122.23,37.82,52,12.3804,500001
-122.24,37.83,52,5.8948,457800
-122.24,37.83,52,8.1194,471600
-122.23,37.82,52,8.7477,500001
-122.24,37.82,52,6.155,398600
-122.25,37.82,52,5.883,340700
-122.23,37.76,52,5.2128,289900
-122.23,37.76,52,4.7188,335300
-122.23,37.76,52,5.2915,333000
-122.24,37.77,52,2.6411,241000
-122.23,37.77,52,3.3214,189600
-122.24,37.77,52,3.6417,206300
-122.25,37.77,52,3.0161,215700
-122.25,37.77,52,3.1771,210200
-122.25,37.77,52,3.4531,208800
-122.25,37.77,52,4.3098,197900
-122.26,37.78,52,3.3438,201300
-122.26,37.78,52,2.9213,190800
-122.27,37.78,52,2.6806,207900
-122.27,37.78,52,3.7708,215300
-122.27,37.78,45,3.9444,212900
-122.27,37.78,13,5.2601,292700
-122.28,37.79,30,2.5444,275000
-122.3,37.77,42,2.6447,200000
-122.28,37.78,29,2.5762,173400
-122.29,37.78,42,1.9427,102200
-122.28,37.77,52,2.9688,220800
-122.28,37.77,27,3.75,242800
-122.29,37.76,18,5.1702,265400
-122.28,37.78,50,2.5139,219000
-122.26,37.77,52,2.9732,282100
-122.27,37.77,52,5.5337,372000
-122.27,37.77,52,4.1667,225800
-122.27,37.77,52,2.7115,220800
-122.27,37.77,52,3.3269,234500
-122.25,37.77,52,3.2685,254200
-122.26,37.77,52,4.7778,351800
-122.26,37.77,52,4.226,275000
-122.26,37.77,52,3.3571,405400
-122.26,37.77,52,2.9899,228100
-122.26,37.77,52,2.875,234000
-122.24,37.77,43,2.3882,162500
-122.25,37.77,43,2.975,243400
-122.23,37.76,52,5.1039,273800
-122.23,37.76,52,4.1458,248500
-122.24,37.76,52,3.4762,244000
-122.24,37.76,52,2.6833,240900
-122.23,37.76,52,5.75,306300
-122.23,37.75,50,3.9632,240000
-122.24,37.75,45,4.9489,247100
-122.24,37.75,27,4.8711,286600
-122.24,37.76,52,3.0718,266700
-122.24,37.76,49,3.6719,229800
-122.24,37.76,52,4.6094,229300
-122.24,37.73,21,4.5213,228400
-122.25,37.74,25,4.4562,206200
-122.24,37.72,5,7.611,350700
-122.27,37.73,31,3.2689,231000
-122.25,37.76,52,3.567,252900
-122.27,37.74,28,3.6875,353900
-122.27,37.77,23,4.7695,291700
-122.28,37.75,20,3.1972,100000
-122.06,37.77,12,7.2634,341600
-122.06,37.73,5,7.0568,412500
-122.06,37.71,36,4.635,248600
-122.07,37.71,40,5.3015,254900
-122.07,37.71,36,4.9801,241500
-122.07,37.72,26,5.4834,295200
-122.08,37.72,31,6.187,340400
-122.08,37.72,32,5.6194,274700
-122.08,37.71,35,5.4639,238600
-122.09,37.71,35,5.1498,266400
-122.1,37.72,30,5.8382,330200
-122.11,37.71,36,4.65,206800
-122.1,37.7,25,4.3819,209200
-122.1,37.69,30,3.7222,195800
-122.09,37.71,31,5.2855,253500
-122.09,37.7,31,4.3375,241800
-122.1,37.71,27,5.2131,252500
-122.09,37.7,30,6.005,263900
-122.08,37.71,38,5.0519,227000
-122.08,37.71,38,4.8237,220900
-122.08,37.7,32,5.2497,259300
-122.07,37.7,39,4.125,232500
-122.06,37.7,37,4.6005,231600
-122.06,37.7,33,3.5187,209400
-122.07,37.7,32,3,223200
-122.08,37.7,25,3.4934,209900
-122.09,37.7,33,2.9861,208200
-122.07,37.69,29,2.5362,203800
-122.08,37.69,36,3.3021,195700
-122.07,37.69,31,3.0964,190500
-122.08,37.69,43,2.8512,181000
-122.08,37.69,42,3.3478,184900
-122.08,37.68,37,2.3958,190800
-122.08,37.68,15,3.5295,242200
-122.09,37.69,20,4.8036,188300
-122.15,37.74,52,3.851,183500
-122.14,37.74,52,4.0662,204200
-122.14,37.73,51,4.6042,251900
-122.15,37.74,49,2.2,187500
-122.16,37.73,52,4.1164,198200
-122.15,37.74,52,3.95,219000
-122.15,37.73,52,4.9135,275000
-122.15,37.73,45,2.8355,245400
-122.17,37.73,46,3.25,177500
-122.16,37.73,49,2.8301,171600
-122.17,37.73,52,3.7159,183300
-122.16,37.73,52,2.5625,175000
-122.18,37.72,45,3.8047,156700
-122.18,37.71,45,3.375,157500
-122.17,37.71,38,3.244,179800
-122.18,37.7,36,4.0268,205500
-122.18,37.7,35,3.3906,178900
-122.19,37.71,36,5.5461,262500
-122.17,37.72,42,3.371,165000
-122.17,37.72,46,3.5313,159700
-122.17,37.72,5,3.663,158300
-122.16,37.72,38,2.875,144800
-122.17,37.72,43,4.0202,166300
-122.16,37.71,37,4.5553,191000
-122.16,37.71,36,3.4643,175000
-122.16,37.72,10,3.3431,137500
-122.15,37.73,28,2.1898,141700
-122.15,37.72,31,2.9097,210900
-122.15,37.72,47,3.375,198300
-122.15,37.72,29,2.8125,157400
-122.14,37.73,52,5,264700
-122.14,37.73,38,3.0673,218400
-122.14,37.73,43,3.8125,235100
-122.13,37.73,33,6.9096,341800
-122.13,37.72,26,7.912,367300
-122.13,37.72,35,3.8393,243500
-122.12,37.71,35,4,167900
-122.13,37.72,25,6.5095,371200
-122.14,37.72,39,3.5156,218900
-122.14,37.72,45,2.983,202700
-122.13,37.72,45,3.524,186200
-122.13,37.71,44,3.1103,188900
-122.13,37.71,44,3.5781,180000
-122.15,37.71,18,3.1682,202700
-122.14,37.71,27,2.6101,181700
-122.14,37.71,18,3.6932,166800
-122.13,37.7,43,3.4583,183700
-122.13,37.7,19,3.9032,218000
-122.15,37.71,36,4.0208,191500
-122.15,37.7,36,3.5547,194700
-122.14,37.7,17,4.5859,187200
-122.13,37.7,21,2.6321,223100
-122.13,37.69,17,3.395,271300
-122.14,37.7,36,3.9702,194100
-122.16,37.7,36,5.0043,190400
-122.14,37.69,38,4.4659,189100
-122.15,37.69,38,3.6625,184600
-122.15,37.69,36,3.8864,197300
-122.15,37.7,36,3.4583,192600
-122.16,37.69,36,3.7813,192200
-122.16,37.7,36,2.9917,194600
-122.16,37.7,36,4.4375,193500
-122.17,37.7,24,4,202600
-122.16,37.68,16,2.3869,83300
-122.17,37.69,24,4.7609,212600
-122.18,37.68,5,5.4858,187800
-122.16,37.69,36,4.3971,205700
-122.15,37.69,36,4.0109,192900
-122.15,37.68,35,4.3864,205200
-122.15,37.68,30,4.2841,213400
-122.15,37.69,39,5.1312,183600
-122.14,37.69,37,2.9958,178400
-122.14,37.68,27,3.6364,219200
-122.14,37.68,31,2.7955,183100
-122.1,37.69,44,2.9507,157100
-122.12,37.69,30,3.4375,157800
-122.13,37.69,34,2.875,161700
-122.12,37.71,38,3.0345,152100
-122.12,37.7,41,2.679,144900
-122.12,37.7,17,2.9922,179900
-122.12,37.69,35,4.1042,179100
-122.12,37.7,19,2.5833,159900
-122.11,37.7,23,2.1552,161400
-122.11,37.7,29,2.3274,170400
-122.11,37.7,19,2.4206,137500
-122.1,37.69,41,3.9063,178400
-122.11,37.69,37,2.6464,155200
-122.11,37.69,42,3.4643,160900
-122.12,37.69,10,2.3973,167300
-122.03,37.69,20,6.5,340000
-121.97,37.64,32,6.0574,431000
-122.02,37.63,6,3.8958,301100
-122.04,37.63,21,4.7813,241900
-122.05,37.63,5,3.2829,162500
-122.04,37.66,10,5.3169,299200
-122.04,37.65,10,6.2579,315500
-122.05,37.68,23,5.1701,216800
-122.07,37.68,36,3.25,218100
-122.06,37.68,30,3.1796,170300
-122.08,37.68,26,2.4196,275000
-122.08,37.68,26,2.6563,184100
-122.08,37.67,29,0.9637,160000
-122.09,37.67,48,2.3357,175000
-122.09,37.68,41,3.5114,197500
-122.09,37.69,43,3.3125,150000
-122.09,37.68,29,2.4042,205600
-122.09,37.68,41,2.8322,170300
-122.09,37.68,43,2.5156,190900
-122.1,37.68,37,3.4032,196900
-122.1,37.68,37,2.535,174000
-122.11,37.68,37,2.5772,170200
-122.1,37.68,38,3.0962,180900
-122.1,37.67,34,2.9564,150500
-122.1,37.68,31,3.125,167100
-122.12,37.68,35,2.95,148900
-122.12,37.68,40,4.38,196400
-122.12,37.68,37,4.0417,191100
-122.11,37.67,36,3.8,187500
-122.12,37.68,45,3.4839,180600
-122.13,37.68,45,4.0588,182800
-122.13,37.68,44,4.1974,179300
-122.13,37.68,43,3.6,179400
-122.14,37.68,35,4.267,210300
-122.14,37.67,34,4.2386,192300
-122.15,37.67,35,5.5797,198100
-122.14,37.67,36,4.0682,196200
-122.13,37.67,38,3.1734,181600
-122.14,37.67,37,4.7933,186900
-122.14,37.67,37,4.8125,188300
-122.13,37.67,40,3.8676,184000
-122.12,37.67,33,3.9395,184700
